Date Published,General Address,Status,Condition,Article ID,Price Per SQMT
10/29/2023,ლისის ტბის დასახლება,ახალი აშენებული,სარემონტო,1,2246.38
10/29/2023,მუხიანი,ძველი აშენებული,ძველი რემონტით,1,1150
10/29/2023,ნავთლუღი,ახალი აშენებული,ახალი რემონტით,1,1293.33
10/29/2023,ნაძალადევი,ახალი აშენებული,თეთრი კარკასი,1,1196.08
10/29/2023,ნაძალადევი,მშენებარე,თეთრი კარკასი,1,1147.06
10/29/2023,ორთაჭალა,ახალი აშენებული,ახალი რემონტით,2,1292.745
10/29/2023,ორთაჭალა,ახალი აშენებული,მწვანე კარკასი,1,2809.25
10/29/2023,ორთაჭალა,ძველი აშენებული,ახალი რემონტით,2,1454.03
10/29/2023,ორთაჭალა,ძველი აშენებული,გარემონტებული,1,1058.82
10/29/2023,საბურთალო,ახალი აშენებული,ახალი რემონტით,1,1677.02
10/29/2023,საბურთალო,ახალი აშენებული,გარემონტებული,2,1541.665
10/29/2023,საბურთალო,ახალი აშენებული,თეთრი კარკასი,1,1453.33
10/29/2023,საბურთალო,ახალი აშენებული,მწვანე კარკასი,1,1453.33
10/29/2023,საბურთალო,ახალი აშენებული,სარემონტო,1,1155.41
10/29/2023,საბურთალო,ძველი აშენებული,ახალი რემონტით,1,1361.11
10/29/2023,საბურთალო,ძველი აშენებული,გარემონტებული,1,1093.75
10/29/2023,საბურთალო,ძველი აშენებული,ძველი რემონტით,2,1420.73
10/29/2023,სამგორი,ახალი აშენებული,ახალი რემონტით,3,1228.26
10/29/2023,სამგორი,ახალი აშენებული,გარემონტებული,1,1248.3
10/29/2023,სამგორი,ძველი აშენებული,გარემონტებული,1,1142.86
10/29/2023,სამგორი,ძველი აშენებული,მწვანე კარკასი,1,1083.33
10/29/2023,სამგორი,ძველი აშენებული,ძველი რემონტით,1,867.92
10/29/2023,სანზონა,ახალი აშენებული,ახალი რემონტით,1,1592.59
10/29/2023,სოლოლაკი,ახალი აშენებული,ახალი რემონტით,2,2456.935
10/29/2023,ლისის ტბის დასახლება,ახალი აშენებული,ახალი რემონტით,1,1333.33
10/29/2023,ისანი,ძველი აშენებული,ძველი რემონტით,1,804.6
10/29/2023,საბურთალო,მშენებარე,თეთრი კარკასი,1,990.2
10/29/2023,ისანი,ახალი აშენებული,ახალი რემონტით,7,1350.88
10/29/2023,ისანი,ახალი აშენებული,სარემონტო,1,1289.47
10/29/2023,ავლაბარი,ახალი აშენებული,ახალი რემონტით,2,1702.835
10/29/2023,გლდანი,ახალი აშენებული,ახალი რემონტით,1,1180
10/29/2023,გლდანი,მშენებარე,მწვანე კარკასი,1,1328.57
10/29/2023,გლდანი,ძველი აშენებული,ახალი რემონტით,1,1142.86
10/29/2023,გლდანი,ძველი აშენებული,გარემონტებული,1,1333.33
10/29/2023,გლდანი,ძველი აშენებული,ძველი რემონტით,2,965
10/29/2023,დიდი დიღომი,ახალი აშენებული,ახალი რემონტით,6,1235.715
10/29/2023,დიდი დიღომი,ახალი აშენებული,მწვანე კარკასი,1,796.3
10/29/2023,დიდი დიღომი,მშენებარე,თეთრი კარკასი,1,850.24
10/29/2023,დიდუბე,ახალი აშენებული,ახალი რემონტით,1,1470.59
10/29/2023,დიდუბე,ძველი აშენებული,ახალი რემონტით,1,1071.43
10/29/2023,გლდანი,ძველი აშენებული,სარემონტო,2,932.205
10/29/2023,დიღმის მასივი,ახალი აშენებული,გარემონტებული,2,1396.675
10/29/2023,თემქა,ახალი აშენებული,ახალი რემონტით,1,1114.29
10/29/2023,დიღმის მასივი,ახალი აშენებული,ახალი რემონტით,1,988.76
10/29/2023,ვარკეთილი,ძველი აშენებული,ძველი რემონტით,1,1023.08
10/29/2023,ვარკეთილი,ძველი აშენებული,გარემონტებული,1,895.83
10/29/2023,ვარკეთილი,ახალი აშენებული,ახალი რემონტით,1,1366.67
10/29/2023,ვაჟა-ფშაველა,ძველი აშენებული,ახალი რემონტით,2,1752.38
10/29/2023,ვაჟა-ფშაველა,ძველი აშენებული,ძველი რემონტით,1,1222.22
10/29/2023,ვაკე,ახალი აშენებული,ახალი რემონტით,3,1935.48
10/29/2023,ვაზისუბანი,ძველი აშენებული,გარემონტებული,2,796.685
10/29/2023,ვაზისუბანი,ახალი აშენებული,მწვანე კარკასი,1,850
10/29/2023,ვაზისუბანი,ახალი აშენებული,ახალი რემონტით,3,1250
10/29/2023,დიღომი,ძველი აშენებული,ძველი რემონტით,1,1133.33
10/30/2023,ნავთლუღი,ძველი აშენებული,ძველი რემონტით,1,867.92
10/30/2023,მუხიანი,ახალი აშენებული,მწვანე კარკასი,2,987.83
10/30/2023,მთაწმინდა,ძველი აშენებული,ძველი რემონტით,3,2000
10/30/2023,მუხიანი,მშენებარე,თეთრი კარკასი,1,1280.39
10/30/2023,ნავთლუღი,ახალი აშენებული,ახალი რემონტით,1,1320
10/30/2023,მუხიანი,ახალი აშენებული,ახალი რემონტით,2,1153.855
10/30/2023,ნაძალადევი,ახალი აშენებული,ახალი რემონტით,10,1328.825
10/30/2023,ნუცუბიძის პლატო,ახალი აშენებული,სარემონტო,1,651.85
10/30/2023,ნუცუბიძის პლატო,ახალი აშენებული,ახალი რემონტით,5,1505.38
10/30/2023,ნუცუბიძის პლატო,ახალი აშენებული,გარემონტებული,1,1505.38
10/30/2023,ნუცუბიძის პლატო,ახალი აშენებული,თეთრი კარკასი,1,1131.84
10/30/2023,ნუცუბიძის პლატო,ახალი აშენებული,მწვანე კარკასი,1,1240.74
10/30/2023,ნუცუბიძის პლატო,მშენებარე,თეთრი კარკასი,1,1149.02
10/30/2023,მთაწმინდა,ძველი აშენებული,სარემონტო,1,1923.08
10/30/2023,ნუცუბიძის პლატო,ძველი აშენებული,გარემონტებული,2,953.845
10/30/2023,ნაძალადევი,ახალი აშენებული,გარემონტებული,1,1380.95
10/30/2023,მთაწმინდა,ახალი აშენებული,ახალი რემონტით,3,2944.44
10/30/2023,თემქა,ძველი აშენებული,გარემონტებული,1,1088.89
10/30/2023,ლისის ტბის დასახლება,ახალი აშენებული,შავი კარკასი,6,846.15
10/30/2023,ნუცუბიძის პლატო,ძველი აშენებული,ძველი რემონტით,1,1000
10/30/2023,ვერა,ძველი აშენებული,მიმდინარე რემონტი,1,2500
10/30/2023,ვეძისი,ახალი აშენებული,ახალი რემონტით,2,1635.015
10/30/2023,ვეძისი,ძველი აშენებული,მიმდინარე რემონტი,1,1250
10/30/2023,თემქა,ახალი აშენებული,ახალი რემონტით,1,1400
10/30/2023,თემქა,ძველი აშენებული,ძველი რემონტით,2,761.665
10/30/2023,ისანი,ახალი აშენებული,ახალი რემონტით,18,1484.85
10/30/2023,ისანი,ახალი აშენებული,მწვანე კარკასი,1,1384.62
10/30/2023,ისანი,ძველი აშენებული,ახალი რემონტით,1,904.76
10/30/2023,ისანი,ძველი აშენებული,გარემონტებული,1,904.76
10/30/2023,ისანი,ძველი აშენებული,მიმდინარე რემონტი,1,534.88
10/30/2023,ისანი,ძველი აშენებული,ძველი რემონტით,3,1092.11
10/30/2023,ლისის ტბის დასახლება,ახალი აშენებული,ახალი რემონტით,8,1531.82
10/30/2023,ლისის ტბის დასახლება,ახალი აშენებული,თეთრი კარკასი,2,1750
10/30/2023,ლისის ტბის დასახლება,ახალი აშენებული,მწვანე კარკასი,1,1300.12
10/30/2023,ლისის ტბის დასახლება,მშენებარე,თეთრი კარკასი,2,1177.82
10/30/2023,ორთაჭალა,ახალი აშენებული,ახალი რემონტით,11,1375
10/30/2023,სოლოლაკი,ძველი აშენებული,გარემონტებული,1,1809.52
10/30/2023,ორთაჭალა,ახალი აშენებული,მიმდინარე რემონტი,1,1323.53
10/30/2023,სანზონა,ახალი აშენებული,ახალი რემონტით,5,1444.44
10/30/2023,სანზონა,ახალი აშენებული,თეთრი კარკასი,1,956.52
10/30/2023,სანზონა,ახალი აშენებული,მწვანე კარკასი,1,1363.64
10/30/2023,სანზონა,ძველი აშენებული,გარემონტებული,1,1200
10/30/2023,სოლოლაკი,ახალი აშენებული,შავი კარკასი,1,2013.42
10/30/2023,სოლოლაკი,ძველი აშენებული,ახალი რემონტით,2,1941.025
10/30/2023,ვერა,ძველი აშენებული,გარემონტებული,1,2449.54
10/30/2023,სოფელი დიღომი,ახალი აშენებული,ახალი რემონტით,1,1285.71
10/30/2023,ფონიჭალა,ძველი აშენებული,ძველი რემონტით,1,704.55
10/30/2023,ჩუღურეთი,ახალი აშენებული,ახალი რემონტით,1,1488.89
10/30/2023,ჩუღურეთი,ახალი აშენებული,გარემონტებული,1,1297.3
10/30/2023,ჩუღურეთი,ძველი აშენებული,ახალი რემონტით,2,1240.35
10/30/2023,ჩუღურეთი,ძველი აშენებული,გარემონტებული,1,2320
10/30/2023,ჩუღურეთი,ძველი აშენებული,სარემონტო,1,1511.63
10/30/2023,ჩუღურეთი,ძველი აშენებული,ძველი რემონტით,5,1375
10/30/2023,სამგორი,ძველი აშენებული,ძველი რემონტით,4,1021.095
10/30/2023,სამგორი,ძველი აშენებული,გარემონტებული,1,762.5
10/30/2023,სამგორი,ძველი აშენებული,ახალი რემონტით,1,650
10/30/2023,სამგორი,მშენებარე,თეთრი კარკასი,1,750.62
10/30/2023,ორთაჭალა,ძველი აშენებული,ძველი რემონტით,2,1144.925
10/30/2023,საბურთალო,ახალი აშენებული,ახალი რემონტით,64,1869.445
10/30/2023,საბურთალო,ახალი აშენებული,გარემონტებული,5,1654.41
10/30/2023,საბურთალო,ახალი აშენებული,თეთრი კარკასი,8,1658.45
10/30/2023,საბურთალო,ახალი აშენებული,მიმდინარე რემონტი,2,1584.09
10/30/2023,საბურთალო,ახალი აშენებული,მწვანე კარკასი,6,1792.995
10/30/2023,საბურთალო,ახალი აშენებული,სარემონტო,3,1873.24
10/30/2023,ორთაჭალა,ახალი აშენებული,თეთრი კარკასი,2,1253.705
10/30/2023,საბურთალო,ახალი აშენებული,შავი კარკასი,1,1300
10/30/2023,საბურთალო,ძველი აშენებული,ახალი რემონტით,17,1500
10/30/2023,საბურთალო,ძველი აშენებული,გარემონტებული,3,1311.48
10/30/2023,საბურთალო,ძველი აშენებული,სარემონტო,2,1181.675
10/30/2023,საბურთალო,ძველი აშენებული,ძველი რემონტით,7,1165.05
10/30/2023,სამგორი,ახალი აშენებული,ახალი რემონტით,6,1247.1
10/30/2023,სამგორი,ახალი აშენებული,თეთრი კარკასი,1,835.44
10/30/2023,სამგორი,ახალი აშენებული,მწვანე კარკასი,1,833.33
10/30/2023,საბურთალო,მშენებარე,თეთრი კარკასი,2,1200
10/30/2023,ვერა,ძველი აშენებული,ახალი რემონტით,3,2846.15
10/30/2023,თემქა,ძველი აშენებული,ახალი რემონტით,1,911.76
10/30/2023,ვერა,ახალი აშენებული,ახალი რემონტით,4,2244.155
10/30/2023,დიდი დიღომი,ახალი აშენებული,მწვანე კარკასი,8,933.335
10/30/2023,დიდი დიღომი,ახალი აშენებული,შავი კარკასი,3,698.15
10/30/2023,დიდი დიღომი,მშენებარე,თეთრი კარკასი,1,770.24
10/30/2023,დიდი დიღომი,მშენებარე,მწვანე კარკასი,1,1039.06
10/30/2023,დიდი დიღომი,მშენებარე,შავი კარკასი,1,69.82
10/30/2023,დიდი დიღომი,ძველი აშენებული,ახალი რემონტით,1,1026.32
10/30/2023,დიდი დიღომი,ძველი აშენებული,ძველი რემონტით,2,857.14
10/30/2023,დიდუბე,ახალი აშენებული,ახალი რემონტით,5,1437.5
10/30/2023,დიდუბე,ახალი აშენებული,თეთრი კარკასი,4,1177.085
10/30/2023,დიდუბე,ახალი აშენებული,მწვანე კარკასი,1,1285.71
10/30/2023,დიდუბე,ახალი აშენებული,შავი კარკასი,2,1107.845
10/30/2023,დიდუბე,მშენებარე,თეთრი კარკასი,2,1041.06
10/30/2023,დიდუბე,ძველი აშენებული,ახალი რემონტით,1,1025
10/30/2023,დიდუბე,ძველი აშენებული,გარემონტებული,1,833.33
10/30/2023,დიდუბე,ძველი აშენებული,ძველი რემონტით,3,1095.24
10/30/2023,დიდი დიღომი,ახალი აშენებული,თეთრი კარკასი,3,927.03
10/30/2023,დიდი დიღომი,ახალი აშენებული,გარემონტებული,1,701.92
10/30/2023,დიდი დიღომი,ახალი აშენებული,ახალი რემონტით,46,1210.225
10/30/2023,გლდანი,ძველი აშენებული,ძველი რემონტით,9,894.74
10/30/2023,ავლაბარი,ახალი აშენებული,ახალი რემონტით,2,2548.385
10/30/2023,აფრიკის დასახლება,ძველი აშენებული,გარემონტებული,1,788.46
10/30/2023,ვერა,ახალი აშენებული,შავი კარკასი,2,1251.085
10/30/2023,აფრიკის დასახლება,ძველი აშენებული,ძველი რემონტით,1,600
10/30/2023,ბაგები,ახალი აშენებული,ახალი რემონტით,4,1654.165
10/30/2023,ბაგები,ახალი აშენებული,გარემონტებული,1,1492.54
10/30/2023,ბაგები,ძველი აშენებული,ძველი რემონტით,1,1242.42
10/30/2023,დიღმის მასივი,ახალი აშენებული,ახალი რემონტით,24,1358.165
10/30/2023,გლდანი,ახალი აშენებული,ახალი რემონტით,13,1200
10/30/2023,გლდანი,ახალი აშენებული,მიმდინარე რემონტი,1,823.53
10/30/2023,გლდანი,ახალი აშენებული,მწვანე კარკასი,3,944.72
10/30/2023,გლდანი,მშენებარე,მწვანე კარკასი,1,1049.11
10/30/2023,გლდანი,ძველი აშენებული,ახალი რემონტით,3,583.33
10/30/2023,გლდანი,ძველი აშენებული,გარემონტებული,2,899.04
10/30/2023,გლდანი,ძველი აშენებული,მიმდინარე რემონტი,1,842.11
10/30/2023,გლდანი,ძველი აშენებული,სარემონტო,3,962.26
10/30/2023,გლდანი,ახალი აშენებული,თეთრი კარკასი,1,1029.41
10/30/2023,დიღმის მასივი,ახალი აშენებული,გარემონტებული,2,1445.19
10/30/2023,აფრიკის დასახლება,ძველი აშენებული,სარემონტო,1,616.44
10/30/2023,დიღმის მასივი,ახალი აშენებული,შავი კარკასი,1,442.21
10/30/2023,ვაჟა-ფშაველა,ახალი აშენებული,ახალი რემონტით,11,1823.53
10/30/2023,ვაჟა-ფშაველა,მშენებარე,გარემონტებული,1,1323.94
10/30/2023,ვაჟა-ფშაველა,ძველი აშენებული,ახალი რემონტით,3,1376.47
10/30/2023,ვაჟა-ფშაველა,ძველი აშენებული,გარემონტებული,1,1772.15
10/30/2023,ვაჟა-ფშაველა,ძველი აშენებული,ძველი რემონტით,6,1222.22
10/30/2023,ვარკეთილი,ახალი აშენებული,ახალი რემონტით,9,1218.18
10/30/2023,ვარკეთილი,ახალი აშენებული,გარემონტებული,1,1200
10/30/2023,ვარკეთილი,ძველი აშენებული,ახალი რემონტით,2,819.045
10/30/2023,ვარკეთილი,ძველი აშენებული,გარემონტებული,2,807.435
10/30/2023,ვარკეთილი,ძველი აშენებული,მიმდინარე რემონტი,1,974.03
10/30/2023,ვარკეთილი,ძველი აშენებული,სარემონტო,2,859.675
10/30/2023,ვარკეთილი,ძველი აშენებული,ძველი რემონტით,5,875
10/30/2023,ვაშლიჯვარი,ახალი აშენებული,ახალი რემონტით,3,1479.67
10/30/2023,ვაშლიჯვარი,ძველი აშენებული,ძველი რემონტით,1,1090.91
10/30/2023,დიღმის მასივი,ახალი აშენებული,მწვანე კარკასი,3,1103.45
10/30/2023,ვაკე,ძველი აშენებული,ძველი რემონტით,1,2482.27
10/30/2023,ვაკე,ძველი აშენებული,სარემონტო,1,1653.54
10/30/2023,ვაშლიჯვარი,მშენებარე,მწვანე კარკასი,1,910.44
10/30/2023,ვაკე,ძველი აშენებული,ახალი რემონტით,2,2112.315
10/30/2023,ვაკე,ძველი აშენებული,გარემონტებული,2,1485.415
10/30/2023,დიღმის მასივი,ძველი აშენებული,ახალი რემონტით,1,1000
10/30/2023,დიღმის მასივი,ძველი აშენებული,ძველი რემონტით,4,1006.115
