Date Published,Lat,Lon,Street,Size,Price Per SQMT
2023-10-23/2023-10-29,41.657316,44.872239390029385,კრწანისის რაიონი,1.0554089709762533e-05,1638.89
2023-10-23/2023-10-29,41.6671043,44.8930646,ოცხელის ქუჩა,1.0554089709762533e-05,1083.33
2023-10-23/2023-10-29,41.6721906,44.8773537,ბერი გაბრიელ სალოსის გამზირი,1.0554089709762533e-05,804.6
2023-10-23/2023-10-29,41.6735884,44.8523018,შ. ნადირაშვილის ქუჩა,4.221635883905013e-05,1196.46
2023-10-23/2023-10-29,41.6754651,44.8773492,მოსკოვის გამზირი,3.16622691292876e-05,1118.52
2023-10-23/2023-10-29,41.6760312,44.8189321,კრწანისის I გასასვლელი,2.1108179419525066e-05,2803.435
2023-10-23/2023-10-29,41.6770168,44.8388703,რიჩარდ ჰოლბრუკის ქუჩა,1.0554089709762533e-05,1735.85
2023-10-23/2023-10-29,41.6866296,44.8158428,გრიშაშვილის ქუჩა,1.0554089709762533e-05,1650.0
2023-10-23/2023-10-29,41.6872642,44.8237051,ბოდბის ქუჩის,1.0554089709762533e-05,1670.0
2023-10-23/2023-10-29,41.6886257,44.9786133,Tbilisi Railway Bypass,1.0554089709762533e-05,1142.86
2023-10-23/2023-10-29,41.68943,44.8595197,შალვა აზმაიფარაშვილის ქუჩა,1.0554089709762533e-05,1228.26
2023-10-23/2023-10-29,41.6904488,44.8869191,გიორგი აბაშვილის ქუჩა,1.0554089709762533e-05,1036.59
2023-10-23/2023-10-29,41.693202,44.8580962,დავით კვაჭანტირაძის ქუჩა,1.0554089709762533e-05,1341.46
2023-10-23/2023-10-29,41.6934591,44.8014495,თბილისი,2.1108179419525066e-05,2456.935
2023-10-23/2023-10-29,41.7001999,44.8519182,თეოფანე დავითაიას ქუჩა,1.0554089709762533e-05,843.37
2023-10-23/2023-10-29,41.70167015,44.847662265370126,ვაზისუბნის 1-ლი მიკრორაიონი,1.0554089709762533e-05,1240.74
2023-10-23/2023-10-29,41.7037263,44.7724829,გიორგი შატბერაშვილის ქუჩა,1.0554089709762533e-05,1968.42
2023-10-23/2023-10-29,41.7039551,44.8483474,ზურაბ პატარიძის ქუჩა,1.0554089709762533e-05,1250.0
2023-10-23/2023-10-29,41.7063787,44.8029491,მიხეილ წინამძღვრიშვილის ქუჩა,1.0554089709762533e-05,1331.42
2023-10-23/2023-10-29,41.7067619,44.7817388,სიმონ ჯანაშიას ქუჩა,1.0554089709762533e-05,1592.59
2023-10-23/2023-10-29,41.7071717,44.7885558,ნიკო ნიკოლაძის ქუჩა,1.0554089709762533e-05,946.6
2023-10-23/2023-10-29,41.7101506,44.8193015,პ. ბაგრატიონის ქუჩა,2.1108179419525066e-05,1360.295
2023-10-23/2023-10-29,41.7152447,44.7574165,ვლადიმერ გაბაშვილის ქუჩა,1.0554089709762533e-05,1.75
2023-10-23/2023-10-29,41.7181101,44.7833032,მერაბ ალექსიძის III შეს.,3.16622691292876e-05,1677.02
2023-10-23/2023-10-29,41.7191232,44.7370577,უნივერსიტეტის I შესახვევი,1.0554089709762533e-05,1155.41
2023-10-23/2023-10-29,41.7195641,44.7590348,ბახტრიონის ქუჩა,2.1108179419525066e-05,1666.665
2023-10-23/2023-10-29,41.7200371,44.7164636,ანა პოლიტკოვსკაიას ქუჩა,3.16622691292876e-05,1453.33
2023-10-23/2023-10-29,41.7215552,44.720010833729745,ვაჟა-ფშაველას გამზირის VI კვარტალი,1.0554089709762533e-05,1222.22
2023-10-23/2023-10-29,41.724162,44.7311381,ვაჟა-ფშაველას გამზირის 2 კვარტალი,1.0554089709762533e-05,1341.46
2023-10-23/2023-10-29,41.7243479,44.7620268,ადამ მიცკევიჩის ქუჩა,1.0554089709762533e-05,2500.0
2023-10-23/2023-10-29,41.7244082,44.7168682,ზურაბ ანჯაფარიძის ქუჩა,1.0554089709762533e-05,2180.33
2023-10-23/2023-10-29,41.7257647,44.73429918071663,ვაჟა-ფშაველას გამზირის II კვარტალი,1.0554089709762533e-05,1533.33
2023-10-23/2023-10-29,41.7259247,44.8021605,მიხეილ მესხის I შესახვევი,1.0554089709762533e-05,1108.11
2023-10-23/2023-10-29,41.7270196,44.7995778,ც.დადიანის,1.0554089709762533e-05,1277.11
2023-10-23/2023-10-29,41.7306873,44.7521294,ვ. ჩიქოვანის ქუჩა,2.1108179419525066e-05,1296.875
2023-10-23/2023-10-29,41.7333939,44.764809,ი. ნონეშვილის ქუჩა,1.0554089709762533e-05,1150.0
2023-10-23/2023-10-29,41.7399325,44.7706916,აკაკი ბაქრაძის ქუჩა,1.0554089709762533e-05,1071.43
2023-10-23/2023-10-29,41.742052099999995,44.85405842500002,თბილისის ზღვა,1.0554089709762533e-05,1333.33
2023-10-23/2023-10-29,41.743903849999995,44.73460484132602,ლისის ტბა,1.0554089709762533e-05,2246.38
2023-10-23/2023-10-29,41.7526098,44.78907518455388,,1.0554089709762533e-05,1058.82
2023-10-23/2023-10-29,41.7672372,44.7624451,გიორგი ბრწყინვალეს ქუჩა,1.0554089709762533e-05,1164.38
2023-10-23/2023-10-29,41.7849279,44.7642937,ასმათის ქუჩა,1.0554089709762533e-05,850.24
